id,area,statement,status,confidence,evidence,risk,source_track
"RT-01","워크스페이스 구성","Rust 워크스페이스는 crates/core·extractor·api·scengen 4개 멤버이며 실행 바이너리는 extractor·api·scengen 3개다(core는 라이브러리).","확인","높음","Cargo.toml:1-3; crates/extractor/Cargo.toml:7-9; crates/api/Cargo.toml:7-9; crates/scengen/Cargo.toml:7-12","","runtime"
"RT-02","실행 진입점(extractor)","extractor CLI 서브커맨드는 run, tick(--tier t1/t2/all), backfill, transform, workpool, handover, rtg-moves, qc-moves, weather, weather-live 총 10개다.","확인","높음","crates/extractor/src/main.rs:22-92; crates/extractor/src/main.rs:110-200","","runtime"
"RT-03","실행 진입점(scengen)","scengen CLI 서브커맨드는 collect, snapshot, enrich, yard-moves, yard-build, assemble, serve(기본 포트 8899), backfill 8개이며 backfill은 로그만 남기는 미구현 스텁이다.","확인","높음","crates/scengen/src/main.rs:24-66; crates/scengen/src/main.rs:78-84","과거 구간 시나리오 수집을 backfill로 요청받으면 즉시 대응 불가(구현 필요)","runtime"
"RT-04","실행 진입점(api)","api 바이너리는 axum 서버로 /api/* 읽기 전용 엔드포인트와 /kc(정적 지식센터)·SPA fallback을 서빙하며 기본 바인드는 환경변수 API_ADDR(기본 127.0.0.1:8080)이다.","확인","높음","crates/api/src/main.rs:44-107; crates/api/src/main.rs:142-145","","runtime"
"RT-05","api 백그라운드 작업","api 프로세스는 단순 조회 서버가 아니라 GPS 웹소켓 수집과 24개 백그라운드 tokio 태스크(그림자 로거·학습 지속화·Stage-2 매칭)를 함께 돌리는 상태 저장 프로세스다.","확인","높음","crates/api/src/main.rs:115-140","api 재시작 시 라이브맵 학습 상태·그림자 로깅이 함께 끊기며 조회 API와 학습 파이프라인이 같은 프로세스에 결합돼 있다","runtime"
"RT-06","Oracle 접근 경계","프로덕션 Oracle에 닿는 경로는 extractor의 runner.rs와 scengen의 toolbox.rs가 외부 스크립트 remote-toolbox-sql을 프로세스 실행하는 두 곳뿐이며 api 크레이트에는 Oracle 접근 코드가 없다.","확인","높음","crates/extractor/src/runner.rs:41-72; crates/scengen/src/toolbox.rs:44-74; crates/api/src/main.rs:1-4","","runtime"
"RT-07","TOS 쓰기 여부","Oracle로 나가는 SQL은 crates/extractor/sql/*.sql 16개 파일 + 인라인 9개(extractor 3·scengen 6) 총 25개 문장이며 전부 SELECT/WITH다. TOSADM 대상 INSERT/UPDATE/DELETE/MERGE·프로시저 호출은 저장소 전체에서 0건이다.","확인","높음","crates/extractor/sql/; crates/extractor/src/handover.rs:58; crates/extractor/src/qc_moves.rs:54; crates/extractor/src/rtg_moves.rs:54; crates/scengen/src/collect.rs:71; crates/scengen/src/enrich.rs:65,109,120; crates/scengen/src/snapshot.rs:60; crates/scengen/src/yard.rs:50","읽기 전용은 구조적 보장이 아니라 '현재 실려 있는 SQL이 전부 읽기'라는 스냅샷 사실이다(run_sql에 DML 거부 가드 없음)","runtime"
"RT-08","배차 운영모드","Stage-2 배차 매칭은 api 프로세스가 60초 주기로 계산해 Postgres stage2_match_shadow에 적재하는 그림자 방식이며, /api/stage2/advisory는 코드 주석에 'display only, never drives dispatch'로 명시된 표시 전용이다.","확인","높음","crates/api/src/livemap.rs:4173-4210; crates/api/src/workpool.rs:935-960; crates/api/src/main.rs:132-139","","runtime"
"RT-09","운영모드 판정","운영모드는 상시 Shadow + 사내 대시보드 Recommendation 표시다. 코드상 TOS 쓰기 경로가 없고 권고는 그림자 테이블과 화면 오버레이까지만 간다. [문서] 지식센터도 현재를 Phase 0(그림자)로 규정하고 자문·부분·전면 단계는 미착수로 표기한다.","확인","높음","kc/start/launch-plan.html; kc/dispatch/stage2-rollout.html; crates/api/src/workpool.rs:935-952","'Service 2가 라이브 배차를 한다'는 전제로 견적/일정이 잡히면 출력채널(A1)·TOS 계약(A2)·운영자 UI(D2)가 전부 미착수라 범위가 크게 어긋난다","runtime"
"RT-10","배포 방식","운영 배치는 단일 호스트의 systemd --user 유닛이며, 유닛 파일은 %h/projects/tt-aiops-platform/target/release/ 아래 바이너리를 직접 실행하고 sudo 없이 사용자 세션에서 돈다(loginctl enable-linger 필요).","확인","높음","deploy/systemd/README.md:17-38; deploy/systemd/wp-nightly.service:1-11","linger가 풀리거나 계정 세션이 죽으면 모든 타이머가 조용히 멈춘다. 배포가 수동 cargo build --release + cp이라 릴리스 추적성이 없다","runtime"
