direction,item,source_system,object,columns,key,timestamp,refresh,used_by,quality_risk,status,evidence
"입력","미배차 수요 버킷(작업 후보)","Oracle TOSADM → Postgres","live_candidate","qc; queuename; vessel; jobtype; src_block; rtg; n; as_of_ts","(queuename, vessel, jobtype, src_block) 집계","as_of_ts = 추출 시각(UTC)","wp-workpool 타이머 90초 · 매 tick DELETE 후 전량 재삽입","stage2_work_candidates → spawn_stage2_shadow(Stage-2 작업 후보)","JOBSTATUS='Q' AND YTNO 공백 조건 + CRE_DT 2일 창 밖 작업 누락; 트윈은 twinkey로 1대 수요 합산; 행수 캡 없음","확인","crates/extractor/src/workpool.rs:262-345; crates/extractor/sql/workpool.sql:14-38; db/migrations/0013_candidate.sql:1-21"
"입력","배차된 진행중 무브(작업풀 미러)","Oracle TOSADM → Postgres","live_workpool","queuename; vessel; jobtype; yt_status; ytno; armgc; etw_ts; actv_ts; upd_ts; contno; yt_topos; twintandem","(qc, queuename, ytno) 사실상","upd_ts ≈ TOS 배차시각(D_tos) 근사 / etw_ts=작업예정 / actv_ts=오더 활성","90초 전량 교체(DELETE 후 재삽입)","work-ETA 계산, dispatch_compare, fair_compare","upd_ts의 배차시각 근사 오차 미측정; queuename 재사용으로 Oracle 조인 회피; twinkey는 조회하나 저장 안 함; 전량 교체라 과거 큐 이력 없음","추정","crates/extractor/src/workpool.rs:265-300; crates/extractor/sql/workpool.sql:22-38; crates/extractor/src/workpool.rs:282-298"
"입력","QC 큐 계획·진행","Oracle TOSADM.JOB_QUEUE_SCHEDULE → Postgres","live_workqueue","qc; vessel; voyage; queuename; disload; seq; total_qty; comp_qty; plan_qty","(qc, vessel, queuename)","as_of_ts / 원천 UPD_DT(반영시각)","90초 전량 교체","work-ETA(순번·잔여), Stage-1 긴급도","seq 재계획 시 원거리 ETA 신뢰도 저하(코드 주석); JOB_QUE_ACTIVEYN이 실무상 NULL이라 필터 불가; queuename 재사용 fan-out 위험","확인","crates/extractor/src/workpool.rs:198-220; crates/extractor/sql/workqueue.sql:7-23"
"입력","선박 일정(마감 원천)","Oracle TOSADM.VSB_VOYAGE → Postgres","live_vessel_schedule","estber_ts; estwkc_ts; estdep_ts; cutoff_ts; actber_ts; actdep_ts; disvan; loadvan; (scengen 추가) berthside; startpos","(vessel, voyage)","MYT 문자열(DATE+TIME 결합) → UTC 변환; EST*=계획 / ACT*=실적","90초 전량 교체 · 창 = ESTDEP SYSDATE-2 ~ +10일","build_workpool의 deadline/slack/work-ETA, scenario.vessel_call","ESTWKC가 비현실적인 경우가 잦아 '출항 0~6시간 전'에만 신뢰하는 가드 존재; 취소 항차는 NVL(CANCEL,'N') 필터 의존","확인","crates/extractor/src/workpool.rs:226-256; crates/api/src/workpool.rs:416-424; crates/extractor/sql/vessel_schedule.sql:6-22"
"입력","컨테이너별 정확 ETW","Azure tos_etw_gateway (HTTP REST, SSH 터널 경유 · Oracle 아님)","GET /v1/voyages/{vessel}/{voyage}/snapshot → tos_etw_cntr","vessel; voyage; cntr_no; dis_ld; qc_etw_utc; vessel_etw_utc; fetched_at_utc; expires_at_utc","(vessel, voyage, cntr_no)","qc_etw_utc / vessel_etw_utc (UTC), fetched/expires=신선도","90초 workpool 틱마다 curl -m 8 · live_workpool에 있는 컨테이너만 · 2시간 미갱신행 DELETE","작업 front 정렬(etw_accurate 우선), dispatch_pred_sample","curl 실패 시 warn 로그만 남기고 조용히 스킵(열화 감지 곤란); 환경변수 키 ETW_GATEWAY_URL(값 <redacted>); wp-etw-bridge 터널 유닛이 저장소에 없음","확인","crates/extractor/src/workpool.rs:111-170; crates/extractor/src/workpool.rs:115-168"
"입력","TT 실시간 위치·미션(GPS fix)","WebSocket zone wpt_gps (로컬 SSH 터널)","LiveMap.devices (인메모리)","lat; lon; speed; engine_on; accuracy; fuel_level; batt; nett; distance; dtime; cls; latched_*","장비 ID(ytno, 예: TT1074)","수신(ingest) 시각 Utc::now(); 소스 dtime은 문자열 통과만 하고 미저장","이벤트 스트림 · TT p50 3초 / p90 30초 · STALE_AFTER_S=120초","classify_tt → Stage-2 후보 차량, positions API, 사이클 검출, 위치 이력 3종","GPS 단말이 이동 시에만 보고 → 정차 시 침묵(유휴 onset·큐 대기·정밀 도착 구조적 관측 불가); (0,0) fix 폐기·600m 단일 스텝 무시 등 다층 방어 필요","확인","crates/api/src/livemap.rs:3186-3245; crates/api/src/livemap.rs:4199-4241; crates/api/src/livemap.rs:3005-3092"
"입력","GPS 작업 컨텍스트 필드","WebSocket zone wpt_gps (동일 프레임)","gps_update","jobtype; vslname; container1; container2; cur_loc; topos1; topos2; arrival; arr_dtime","장비 ID","arr_dtime(HH:MM:SS MYT)이 유일하게 파싱되는 소스 시각 → leg.arrived_ms 승격","동일 스트림 · 결측 시 latched 값 유지","사이클 v1/v2 단계, 도착 판정, 작업지점 학습, tt_wp_arrival.arrived_at","필드 결측이 잦아 latch 필요; 정차 트럭은 갱신 없음; 단말 로컬시계 오차가 그대로 도착시각으로 유입(검증 로직 없음)","확인","crates/api/src/livemap.rs:3226-3243; crates/api/src/livemap.rs:3330-3339; crates/api/src/livemap.rs:3774-3796"
"입력","크레인 PLC 하중·트롤리 상태","WebSocket zone ctab","plc_data → positions의 PlcOut","crane; load; lock; land; hpos; tpos","crane id (C/M/Z, TOS QC 번호와 동일)","수신 시각","이벤트 · 크레인당 약 1초","QC 가동 배지, LD 핸드오버 엣지(qc_handover_edge), QC starvation 판정","RTG에는 PLC가 없어 DS 측은 GPS 근접(약 16%)에만 의존 — 적하/양하 관측 비대칭; identify만 하고 checkin 없음","확인","crates/api/src/livemap.rs:3094-3170; db/migrations/0086_rtg_pos_hist.sql:1-8"
"입력","운전자 식별정보(개인정보)","WebSocket GPS 피드","gps_update.userid → /api/livemap/positions","userid = 운전자 ID + 전화번호 (HTML <br/> 포함 원문)","ytno(차량) 기준","메시지 수신 시각(last_seen_ms)","GPS 메시지마다 인메모리 갱신","web/src/LiveVehicleDetail.tsx 상세 패널 '운전자' 행","마스킹 없음 · 인증 없는 API로 노출; clean_driver는 HTML 정리만 수행; DB 영속 저장은 마이그레이션에서 확인되지 않음","확인","crates/api/src/livemap.rs:3233; crates/api/src/livemap.rs:3808-3812; crates/api/src/livemap.rs:1120; web/src/LiveVehicleDetail.tsx:166"
"입력","터미널 날씨(시간별/1분)","Open-Meteo / Tomorrow.io (공용 인터넷 API)","weather_hourly / weather_1min","precipitation; wind_speed_10m; visibility; weather_code","ts (UTC 시각)","UTC 시간 버킷 · past_days=1 자가치유","Open-Meteo 1시간 / Tomorrow.io 3분 · curl 호출","이동시간 모델 피처","Tomorrow.io 무료 한도(문서상 500/일·25/시) 초과 시 결측; 환경변수 키 TOMORROW_API_KEY(값 <redacted>); 폐쇄망 이관 시 대체 소스 필요","확인","crates/extractor/src/weather.rs:1-40; crates/extractor/src/weather.rs:73-99"
